id,zona,prioridad,tipo,timestamp,severidad,estado
I-0060,N16,3,1,2026-07-10T12:30:00,1,0
I-0061,N2,1,3,2026-07-10T23:47:00,4,0
I-0062,N12,2,3,2026-07-10T13:00:00,2,0
I-0063,N19,1,1,2026-07-10T17:52:00,2,0
I-0064,N33,2,3,2026-07-11T04:20:00,3,0
I-0065,N35,1,3,2026-07-10T15:04:00,5,0
I-0066,N40,1,1,2026-07-10T18:13:00,1,0
I-0067,N3,4,3,2026-07-10T20:41:00,1,0
I-0068,N9,2,3,2026-07-10T18:20:00,3,0
I-0069,N2,2,1,2026-07-11T04:46:00,2,0
I-0070,N1,1,1,2026-07-11T09:29:00,4,0
I-0071,N2,1,2,2026-07-10T17:19:00,1,0
I-0072,N11,4,1,2026-07-10T21:07:00,3,0
I-0073,N13,1,2,2026-07-10T13:05:00,3,0
I-0074,N14,2,2,2026-07-11T06:46:00,4,0
I-0075,N12,2,3,2026-07-10T22:39:00,5,0
I-0076,N8,1,3,2026-07-11T10:32:00,3,0
I-0077,N29,2,0,2026-07-11T07:41:00,1,0
I-0078,N1,4,2,2026-07-10T17:09:00,5,0
I-0079,N13,2,2,2026-07-11T02:08:00,3,0
I-0080,N48,1,0,2026-07-11T08:23:00,5,0
I-0081,N24,1,2,2026-07-11T09:10:00,2,0
I-0082,N0,1,1,2026-07-10T19:46:00,2,0
I-0083,N6,1,0,2026-07-11T00:42:00,1,0
I-0084,N42,1,3,2026-07-10T21:18:00,2,0
I-0085,N29,2,0,2026-07-11T06:49:00,1,0
I-0086,N22,2,1,2026-07-10T13:11:00,1,0
I-0087,N27,2,1,2026-07-11T03:50:00,2,0
I-0088,N18,1,1,2026-07-11T08:56:00,1,0
I-0089,N3,1,3,2026-07-11T00:12:00,2,0
I-0090,N18,1,0,2026-07-11T08:14:00,2,0
I-0091,N16,1,0,2026-07-10T15:21:00,5,0
I-0092,N26,4,2,2026-07-10T23:20:00,2,0
I-0093,N44,3,2,2026-07-11T00:03:00,3,0
I-0094,N41,3,2,2026-07-10T18:42:00,1,0
I-0095,N20,1,3,2026-07-11T05:43:00,5,0
I-0096,N12,2,0,2026-07-10T15:38:00,5,0
I-0097,N46,1,0,2026-07-11T05:27:00,2,0
I-0098,N34,1,3,2026-07-11T02:19:00,5,0
I-0099,N48,1,0,2026-07-11T03:06:00,1,0
I-0100,N11,4,1,2026-07-11T05:25:00,3,0
I-0101,N4,1,0,2026-07-11T02:46:00,1,0
I-0102,N16,1,2,2026-07-10T23:40:00,2,0
I-0103,N7,2,2,2026-07-10T18:16:00,5,0
I-0104,N40,2,0,2026-07-11T00:44:00,3,0
I-0105,N0,3,2,2026-07-10T20:59:00,2,0
I-0106,N49,1,0,2026-07-10T14:51:00,1,0
I-0107,N8,2,3,2026-07-10T23:45:00,2,0
I-0108,N0,1,3,2026-07-11T04:50:00,2,0
I-0109,N34,3,1,2026-07-11T09:08:00,2,0
I-0110,N4,1,1,2026-07-10T22:41:00,3,0
I-0111,N17,3,0,2026-07-10T16:34:00,4,0
I-0112,N38,2,1,2026-07-11T01:24:00,3,0
I-0113,N19,2,2,2026-07-11T11:13:00,2,0
I-0114,N31,1,1,2026-07-10T21:25:00,2,0
I-0115,N42,1,0,2026-07-11T06:44:00,2,0
I-0116,N37,1,1,2026-07-11T09:51:00,4,0
I-0117,N45,4,3,2026-07-10T16:33:00,4,0
I-0118,N5,2,2,2026-07-11T09:27:00,2,0
I-0119,N13,2,2,2026-07-10T12:03:00,1,0
I-0120,N6,2,1,2026-07-10T14:01:00,5,0
I-0121,N39,4,0,2026-07-10T21:56:00,4,0
I-0122,N27,1,1,2026-07-10T14:03:00,4,0
I-0123,N13,2,0,2026-07-11T09:01:00,1,0
I-0124,N19,1,1,2026-07-10T13:25:00,5,0
I-0125,N26,1,3,2026-07-11T03:00:00,3,0
I-0126,N38,3,0,2026-07-11T11:55:00,5,0
I-0127,N40,3,0,2026-07-10T20:30:00,2,0
I-0128,N18,3,3,2026-07-11T10:59:00,3,0
I-0129,N34,3,3,2026-07-10T23:15:00,3,0
I-0130,N2,3,2,2026-07-11T05:13:00,2,0
I-0131,N48,1,0,2026-07-10T19:14:00,3,0
I-0132,N4,2,1,2026-07-11T08:25:00,5,0
I-0133,N43,1,3,2026-07-11T07:21:00,5,0
I-0134,N40,3,3,2026-07-10T18:03:00,2,0
I-0135,N38,3,3,2026-07-11T00:33:00,3,0
I-0136,N21,2,3,2026-07-10T13:51:00,3,0
I-0137,N46,2,1,2026-07-11T03:58:00,1,0
I-0138,N45,3,0,2026-07-10T12:25:00,5,0
I-0139,N9,3,2,2026-07-11T10:37:00,2,0
I-0140,N47,3,1,2026-07-10T12:36:00,4,0
I-0141,N49,3,1,2026-07-10T18:38:00,2,0
I-0142,N17,4,0,2026-07-10T19:56:00,2,0
I-0143,N27,1,3,2026-07-11T04:19:00,1,0
I-0144,N3,3,3,2026-07-10T22:28:00,3,0
I-0145,N20,2,3,2026-07-10T12:12:00,1,0
I-0146,N45,2,0,2026-07-11T08:11:00,1,0
I-0147,N44,4,2,2026-07-11T01:03:00,2,0
I-0148,N42,2,3,2026-07-10T15:54:00,3,0
I-0149,N12,1,1,2026-07-11T07:40:00,4,0
I-0150,N22,3,3,2026-07-10T21:22:00,1,0
I-0151,N34,4,1,2026-07-11T02:48:00,3,0
I-0152,N3,1,0,2026-07-11T00:11:00,2,0
I-0153,N38,1,1,2026-07-10T18:20:00,1,0
I-0154,N4,2,3,2026-07-10T22:21:00,4,0
I-0155,N21,3,1,2026-07-11T00:05:00,2,0
I-0156,N4,2,3,2026-07-11T08:00:00,4,0
I-0157,N16,1,3,2026-07-11T08:30:00,2,0
I-0158,N12,1,0,2026-07-10T23:25:00,2,0
I-0159,N46,1,0,2026-07-10T21:35:00,4,0
I-0160,N3,2,3,2026-07-11T10:37:00,4,0
I-0161,N24,1,2,2026-07-10T18:40:00,4,0
I-0162,N4,3,2,2026-07-10T23:26:00,3,0
I-0163,N28,1,1,2026-07-11T07:52:00,1,0
I-0164,N18,1,2,2026-07-11T10:52:00,2,0
I-0165,N38,1,2,2026-07-11T06:49:00,3,0
I-0166,N39,2,1,2026-07-10T17:45:00,1,0
I-0167,N15,2,1,2026-07-11T04:54:00,3,0
I-0168,N12,3,1,2026-07-11T01:20:00,2,0
I-0169,N29,2,2,2026-07-10T19:45:00,4,0
I-0170,N5,3,2,2026-07-10T21:06:00,3,0
I-0171,N20,2,3,2026-07-11T08:38:00,5,0
I-0172,N10,1,1,2026-07-11T04:02:00,1,0
I-0173,N17,2,3,2026-07-10T12:53:00,5,0
I-0174,N15,2,2,2026-07-11T06:01:00,5,0
I-0175,N24,4,3,2026-07-11T09:10:00,5,0
I-0176,N10,2,2,2026-07-10T20:06:00,2,0
I-0177,N26,1,1,2026-07-11T07:13:00,3,0
I-0178,N14,1,3,2026-07-11T02:50:00,5,0
I-0179,N37,2,1,2026-07-11T01:52:00,2,0
I-0180,N28,2,2,2026-07-11T05:27:00,5,0
I-0181,N42,1,1,2026-07-11T00:37:00,5,0
I-0182,N15,3,2,2026-07-11T10:39:00,1,0
I-0183,N29,1,1,2026-07-11T09:08:00,2,0
I-0184,N3,2,0,2026-07-10T17:00:00,5,0
I-0185,N26,2,1,2026-07-10T13:39:00,1,0
I-0186,N10,3,1,2026-07-10T13:03:00,3,0
I-0187,N47,2,1,2026-07-10T16:08:00,3,0
I-0188,N19,1,0,2026-07-10T14:59:00,4,0
I-0189,N12,2,1,2026-07-10T16:33:00,2,0
I-0190,N43,1,3,2026-07-10T18:44:00,2,0
I-0191,N10,2,1,2026-07-11T06:34:00,5,0
I-0192,N40,1,0,2026-07-11T08:46:00,3,0
I-0193,N14,1,0,2026-07-10T18:58:00,4,0
I-0194,N45,2,1,2026-07-10T14:49:00,4,0
I-0195,N35,4,0,2026-07-11T02:50:00,3,0
I-0196,N13,1,1,2026-07-11T06:49:00,5,0
I-0197,N26,4,0,2026-07-10T13:27:00,1,0
I-0198,N29,2,3,2026-07-11T09:34:00,2,0
I-0199,N19,1,0,2026-07-10T21:06:00,5,0
I-0200,N9,1,3,2026-07-10T14:15:00,1,0
I-0201,N19,1,1,2026-07-10T20:56:00,4,0
I-0202,N23,1,3,2026-07-10T19:37:00,3,0
I-0203,N17,3,1,2026-07-10T23:45:00,3,0
I-0204,N41,2,0,2026-07-11T08:28:00,1,0
I-0205,N24,3,2,2026-07-10T20:37:00,4,0
I-0206,N13,1,1,2026-07-11T05:52:00,3,0
I-0207,N15,3,1,2026-07-10T12:57:00,5,0
I-0208,N10,3,3,2026-07-10T23:18:00,4,0
I-0209,N44,1,2,2026-07-10T22:30:00,5,0
I-0210,N14,2,0,2026-07-11T04:06:00,4,0
I-0211,N22,2,1,2026-07-11T06:43:00,5,0
I-0212,N21,2,2,2026-07-11T11:52:00,4,0
I-0213,N16,2,0,2026-07-11T03:53:00,1,0
I-0214,N11,1,2,2026-07-11T05:46:00,4,0
I-0215,N8,2,1,2026-07-11T03:44:00,5,0
I-0216,N30,1,2,2026-07-10T22:18:00,5,0
I-0217,N8,1,3,2026-07-11T03:08:00,3,0
I-0218,N5,1,3,2026-07-10T13:50:00,3,0
I-0219,N49,4,1,2026-07-10T21:45:00,3,0
I-0220,N3,2,3,2026-07-10T14:51:00,1,0
I-0221,N6,1,3,2026-07-10T21:23:00,2,0
I-0222,N23,2,0,2026-07-10T14:47:00,5,0
I-0223,N1,4,1,2026-07-11T05:24:00,2,0
I-0224,N34,2,0,2026-07-11T09:31:00,5,0
I-0225,N20,2,3,2026-07-11T02:03:00,2,0
I-0226,N13,3,1,2026-07-10T18:22:00,5,0
I-0227,N12,3,0,2026-07-10T13:20:00,5,0
I-0228,N18,2,2,2026-07-11T02:27:00,4,0
I-0229,N15,1,3,2026-07-11T01:03:00,2,0
I-0230,N23,1,2,2026-07-10T14:21:00,2,0
I-0231,N23,1,3,2026-07-11T10:04:00,1,0
I-0232,N25,2,0,2026-07-10T13:52:00,5,0
I-0233,N10,4,2,2026-07-10T13:37:00,1,0
I-0234,N15,2,2,2026-07-10T14:05:00,4,0
I-0235,N21,2,2,2026-07-11T05:04:00,5,0
I-0236,N40,1,3,2026-07-10T16:04:00,3,0
I-0237,N31,2,2,2026-07-11T06:35:00,4,0
I-0238,N47,2,1,2026-07-11T07:04:00,4,0
I-0239,N41,1,2,2026-07-10T22:34:00,4,0
I-0240,N41,1,2,2026-07-11T11:08:00,2,0
I-0241,N27,1,1,2026-07-11T03:03:00,2,0
I-0242,N0,1,3,2026-07-10T23:04:00,2,0
I-0243,N15,1,1,2026-07-10T13:11:00,2,0
I-0244,N13,1,3,2026-07-11T00:20:00,3,0
I-0245,N34,2,3,2026-07-10T16:48:00,1,0
I-0246,N36,4,3,2026-07-10T12:20:00,2,0
I-0247,N34,2,2,2026-07-11T04:18:00,3,0
I-0248,N40,3,0,2026-07-11T05:40:00,4,0
I-0249,N31,1,3,2026-07-11T08:15:00,1,0
I-0250,N10,1,0,2026-07-10T22:17:00,1,0
I-0251,N41,3,0,2026-07-11T07:28:00,3,0
I-0252,N48,1,2,2026-07-11T03:44:00,2,0
I-0253,N32,1,0,2026-07-11T10:45:00,1,0
I-0254,N44,1,2,2026-07-10T17:08:00,2,0
I-0255,N42,1,3,2026-07-10T19:39:00,5,0
I-0256,N29,2,0,2026-07-10T21:34:00,1,0
I-0257,N9,1,2,2026-07-10T13:26:00,1,0
I-0258,N15,4,1,2026-07-10T17:01:00,2,0
I-0259,N49,1,1,2026-07-11T09:05:00,3,0
I-0260,N0,2,0,2026-07-11T03:44:00,2,0
I-0261,N15,2,2,2026-07-10T23:36:00,1,0
I-0262,N44,2,2,2026-07-11T11:31:00,1,0
I-0263,N41,3,2,2026-07-11T09:18:00,5,0
I-0264,N21,3,3,2026-07-11T03:37:00,3,0
I-0265,N31,4,1,2026-07-10T17:01:00,4,0
I-0266,N30,1,0,2026-07-11T08:18:00,1,0
I-0267,N22,1,0,2026-07-10T17:14:00,2,0
I-0268,N10,3,1,2026-07-11T07:35:00,5,0
I-0269,N28,2,2,2026-07-11T03:08:00,1,0
I-0270,N4,1,0,2026-07-11T02:37:00,5,0
I-0271,N8,1,3,2026-07-11T00:26:00,1,0
I-0272,N38,2,1,2026-07-10T14:47:00,5,0
I-0273,N18,2,2,2026-07-10T19:00:00,5,0
I-0274,N20,1,1,2026-07-10T13:52:00,4,0
I-0275,N25,1,3,2026-07-11T03:31:00,4,0
I-0276,N34,1,3,2026-07-11T01:26:00,3,0
I-0277,N37,3,2,2026-07-10T13:10:00,5,0
I-0278,N28,2,0,2026-07-10T17:59:00,1,0
I-0279,N8,2,1,2026-07-10T19:36:00,4,0
I-0280,N8,4,3,2026-07-11T07:51:00,3,0
I-0281,N37,3,0,2026-07-11T08:36:00,5,0
I-0282,N43,4,2,2026-07-11T07:19:00,3,0
I-0283,N47,2,0,2026-07-11T03:34:00,5,0
I-0284,N49,1,3,2026-07-10T23:20:00,4,0
I-0285,N18,3,0,2026-07-11T03:03:00,2,0
I-0286,N13,2,1,2026-07-10T20:24:00,1,0
I-0287,N8,1,1,2026-07-10T18:30:00,3,0
I-0288,N22,1,2,2026-07-11T09:14:00,4,0
I-0289,N0,3,3,2026-07-10T20:40:00,2,0
I-0290,N27,1,0,2026-07-11T04:25:00,4,0
I-0291,N49,1,2,2026-07-11T01:20:00,3,0
I-0292,N14,4,0,2026-07-11T03:56:00,4,0
I-0293,N9,1,0,2026-07-10T23:33:00,3,0
I-0294,N4,3,3,2026-07-10T13:14:00,5,0
I-0295,N35,1,3,2026-07-11T06:15:00,1,0
I-0296,N35,1,1,2026-07-11T05:55:00,5,0
I-0297,N15,4,0,2026-07-11T09:58:00,1,0
I-0298,N32,2,3,2026-07-10T13:10:00,5,0
I-0299,N1,1,3,2026-07-10T19:23:00,1,0
I-0300,N38,3,2,2026-07-11T04:44:00,4,0
I-0301,N11,2,0,2026-07-10T17:42:00,2,0
I-0302,N1,1,2,2026-07-11T05:55:00,4,0
I-0303,N31,2,1,2026-07-11T01:17:00,5,0
I-0304,N7,3,3,2026-07-11T02:20:00,2,0
I-0305,N4,3,3,2026-07-10T12:02:00,3,0
I-0306,N13,3,2,2026-07-10T13:05:00,1,0
I-0307,N48,1,3,2026-07-11T10:47:00,5,0
I-0308,N13,4,3,2026-07-10T20:30:00,2,0
I-0309,N38,3,0,2026-07-10T16:37:00,5,0
I-0310,N12,1,0,2026-07-10T13:41:00,2,0
I-0311,N26,1,1,2026-07-11T06:04:00,3,0
I-0312,N0,1,1,2026-07-10T16:02:00,1,0
I-0313,N0,1,2,2026-07-10T21:08:00,1,0
I-0314,N22,1,3,2026-07-10T22:06:00,5,0
I-0315,N9,2,3,2026-07-10T19:07:00,4,0
I-0316,N43,4,1,2026-07-11T08:50:00,4,0
I-0317,N26,1,1,2026-07-11T10:09:00,1,0
I-0318,N42,4,0,2026-07-11T04:25:00,3,0
I-0319,N19,1,2,2026-07-10T16:30:00,2,0
I-0320,N19,2,3,2026-07-10T17:15:00,1,0
I-0321,N34,1,3,2026-07-11T10:59:00,1,0
I-0322,N34,1,0,2026-07-11T03:08:00,1,0
I-0323,N8,1,3,2026-07-10T18:18:00,1,0
I-0324,N17,1,2,2026-07-10T17:20:00,4,0
I-0325,N29,2,1,2026-07-11T04:39:00,5,0
I-0326,N17,4,1,2026-07-11T11:20:00,2,0
I-0327,N18,2,3,2026-07-11T10:12:00,3,0
I-0328,N8,2,0,2026-07-11T05:15:00,4,0
I-0329,N23,3,2,2026-07-10T12:18:00,3,0
I-0330,N7,1,2,2026-07-10T15:34:00,1,0
I-0331,N12,2,1,2026-07-11T00:51:00,3,0
I-0332,N30,2,2,2026-07-10T13:14:00,2,0
I-0333,N48,1,1,2026-07-11T00:57:00,4,0
I-0334,N48,2,3,2026-07-10T12:09:00,3,0
I-0335,N41,2,0,2026-07-10T15:59:00,5,0
I-0336,N34,1,3,2026-07-10T17:04:00,2,0
I-0337,N18,3,3,2026-07-11T09:39:00,3,0
I-0338,N9,1,1,2026-07-10T19:08:00,3,0
I-0339,N22,4,2,2026-07-11T09:39:00,2,0
I-0340,N3,1,0,2026-07-10T13:15:00,4,0
I-0341,N3,3,1,2026-07-10T18:24:00,2,0
I-0342,N41,4,1,2026-07-11T05:52:00,1,0
I-0343,N21,2,1,2026-07-11T07:56:00,2,0
I-0344,N22,1,1,2026-07-10T19:40:00,4,0
I-0345,N15,1,0,2026-07-11T07:14:00,4,0
I-0346,N4,3,0,2026-07-11T02:41:00,5,0
I-0347,N46,3,0,2026-07-11T11:23:00,5,0
I-0348,N33,2,2,2026-07-11T06:43:00,4,0
I-0349,N4,2,0,2026-07-11T10:12:00,2,0
I-0350,N13,2,0,2026-07-10T22:42:00,2,0
I-0351,N3,2,0,2026-07-11T01:53:00,5,0
I-0352,N5,2,3,2026-07-10T19:28:00,3,0
I-0353,N38,1,3,2026-07-11T03:59:00,1,0
I-0354,N24,4,2,2026-07-10T18:52:00,2,0
I-0355,N40,1,1,2026-07-10T23:55:00,1,0
I-0356,N33,1,3,2026-07-11T09:10:00,4,0
I-0357,N36,1,2,2026-07-11T01:10:00,4,0
I-0358,N26,4,2,2026-07-11T10:57:00,2,0
I-0359,N18,2,3,2026-07-10T20:37:00,5,0
I-0360,N14,1,2,2026-07-10T18:36:00,4,0
I-0361,N5,2,2,2026-07-10T13:29:00,4,0
I-0362,N13,1,1,2026-07-11T05:05:00,1,0
I-0363,N46,3,2,2026-07-10T16:22:00,4,0
I-0364,N3,1,1,2026-07-10T20:42:00,3,0
I-0365,N25,1,0,2026-07-11T01:29:00,1,0
I-0366,N40,2,2,2026-07-11T05:42:00,3,0
I-0367,N4,4,0,2026-07-11T06:48:00,5,0
I-0368,N39,1,2,2026-07-10T18:23:00,2,0
I-0369,N34,2,3,2026-07-11T01:27:00,2,0
I-0370,N17,1,2,2026-07-11T07:12:00,4,0
I-0371,N14,2,0,2026-07-11T08:42:00,1,0
I-0372,N24,2,0,2026-07-11T04:07:00,2,0
I-0373,N7,2,0,2026-07-11T01:04:00,4,0
I-0374,N12,1,0,2026-07-10T12:38:00,5,0
I-0375,N37,1,2,2026-07-10T23:15:00,3,0
I-0376,N4,1,3,2026-07-11T02:52:00,5,0
I-0377,N12,1,3,2026-07-11T01:52:00,1,0
I-0378,N21,2,2,2026-07-10T21:37:00,2,0
I-0379,N39,1,1,2026-07-11T07:14:00,2,0
I-0380,N33,1,1,2026-07-10T21:53:00,4,0
I-0381,N48,1,2,2026-07-11T03:18:00,3,0
I-0382,N43,3,1,2026-07-11T10:12:00,3,0
I-0383,N41,1,3,2026-07-11T10:30:00,2,0
I-0384,N45,1,1,2026-07-11T04:58:00,2,0
I-0385,N32,2,0,2026-07-11T04:04:00,5,0
I-0386,N25,1,1,2026-07-11T06:08:00,1,0
I-0387,N31,2,1,2026-07-10T15:05:00,2,0
I-0388,N40,1,0,2026-07-11T09:28:00,4,0
I-0389,N42,1,1,2026-07-10T12:15:00,1,0
I-0390,N21,2,3,2026-07-10T21:46:00,3,0
I-0391,N40,2,0,2026-07-10T12:01:00,1,0
I-0392,N42,3,2,2026-07-10T16:47:00,5,0
I-0393,N34,2,0,2026-07-10T19:42:00,5,0
I-0394,N23,1,3,2026-07-11T11:22:00,3,0
I-0395,N8,1,2,2026-07-10T17:10:00,3,0
I-0396,N0,1,0,2026-07-11T06:03:00,4,0
I-0397,N10,2,3,2026-07-10T14:21:00,5,0
I-0398,N45,2,3,2026-07-10T15:53:00,3,0
I-0399,N21,2,3,2026-07-10T17:47:00,3,0
I-0400,N34,1,2,2026-07-10T17:59:00,3,0
I-0401,N48,1,2,2026-07-10T13:31:00,4,0
I-0402,N1,1,1,2026-07-10T15:42:00,5,0
I-0403,N6,3,1,2026-07-10T12:45:00,3,0
I-0404,N19,3,3,2026-07-11T02:39:00,1,0
I-0405,N10,1,0,2026-07-11T03:03:00,5,0
I-0406,N30,3,2,2026-07-10T23:46:00,1,0
I-0407,N9,1,0,2026-07-10T17:10:00,3,0
I-0408,N26,3,0,2026-07-11T10:39:00,5,0
I-0409,N36,2,2,2026-07-11T06:27:00,2,0
I-0410,N44,1,2,2026-07-10T19:47:00,1,0
I-0411,N39,1,0,2026-07-11T11:54:00,4,0
I-0412,N38,1,0,2026-07-10T16:04:00,4,0
I-0413,N4,1,2,2026-07-11T03:48:00,3,0
I-0414,N26,2,2,2026-07-10T15:40:00,4,0
I-0415,N6,4,1,2026-07-11T02:59:00,2,0
I-0416,N44,1,2,2026-07-11T02:38:00,5,0
I-0417,N5,4,2,2026-07-11T04:17:00,3,0
I-0418,N3,1,0,2026-07-11T01:44:00,2,0
I-0419,N41,2,0,2026-07-10T19:17:00,1,0
I-0420,N4,3,1,2026-07-10T19:55:00,4,0
I-0421,N4,1,2,2026-07-11T00:08:00,4,0
I-0422,N37,2,3,2026-07-10T20:16:00,4,0
I-0423,N49,3,3,2026-07-11T04:28:00,4,0
I-0424,N4,3,2,2026-07-10T21:07:00,4,0
I-0425,N8,3,3,2026-07-11T02:03:00,2,0
I-0426,N19,3,3,2026-07-10T18:16:00,4,0
I-0427,N32,3,3,2026-07-10T17:52:00,5,0
I-0428,N4,1,0,2026-07-11T00:36:00,4,0
I-0429,N1,4,2,2026-07-11T10:44:00,1,0
I-0430,N12,2,0,2026-07-11T01:27:00,2,0
I-0431,N32,2,0,2026-07-11T07:00:00,5,0
I-0432,N29,1,1,2026-07-10T20:11:00,1,0
I-0433,N28,1,0,2026-07-11T07:58:00,3,0
I-0434,N46,4,0,2026-07-11T09:25:00,2,0
I-0435,N17,1,2,2026-07-11T06:10:00,1,0
I-0436,N4,3,0,2026-07-11T05:26:00,3,0
I-0437,N42,1,0,2026-07-11T08:19:00,2,0
I-0438,N27,2,3,2026-07-10T20:11:00,5,0
I-0439,N7,4,1,2026-07-11T09:11:00,3,0
I-0440,N8,3,1,2026-07-11T02:17:00,1,0
I-0441,N44,2,0,2026-07-10T21:33:00,4,0
I-0442,N23,3,1,2026-07-10T21:09:00,3,0
I-0443,N49,2,2,2026-07-10T16:00:00,2,0
I-0444,N48,2,3,2026-07-11T03:09:00,4,0
I-0445,N23,1,2,2026-07-11T10:01:00,4,0
I-0446,N32,2,2,2026-07-11T03:10:00,4,0
I-0447,N2,4,1,2026-07-11T08:00:00,4,0
I-0448,N21,1,1,2026-07-11T06:15:00,4,0
I-0449,N31,2,3,2026-07-11T00:23:00,3,0
I-0450,N37,1,3,2026-07-11T00:29:00,4,0
I-0451,N7,3,0,2026-07-11T02:53:00,5,0
I-0452,N15,2,1,2026-07-10T18:02:00,5,0
I-0453,N46,1,1,2026-07-11T04:08:00,2,0
I-0454,N34,2,3,2026-07-11T11:34:00,5,0
I-0455,N34,2,2,2026-07-11T07:14:00,3,0
I-0456,N20,4,2,2026-07-10T23:55:00,2,0
I-0457,N23,3,3,2026-07-11T03:14:00,3,0
I-0458,N39,1,0,2026-07-10T16:16:00,3,0
I-0459,N7,2,1,2026-07-11T03:19:00,1,0
I-0460,N36,2,2,2026-07-11T06:21:00,2,0
I-0461,N37,3,3,2026-07-10T15:14:00,1,0
I-0462,N29,2,1,2026-07-10T16:09:00,4,0
I-0463,N42,1,1,2026-07-10T20:54:00,1,0
I-0464,N26,1,2,2026-07-10T21:57:00,2,0
I-0465,N40,4,1,2026-07-11T03:36:00,3,0
I-0466,N33,4,0,2026-07-11T11:40:00,3,0
I-0467,N38,4,0,2026-07-10T19:51:00,3,0
I-0468,N41,1,0,2026-07-10T14:43:00,1,0
I-0469,N17,1,3,2026-07-11T06:29:00,4,0
I-0470,N45,2,2,2026-07-11T09:57:00,3,0
I-0471,N23,2,0,2026-07-10T13:40:00,2,0
I-0472,N8,3,3,2026-07-11T04:30:00,3,0
I-0473,N37,1,3,2026-07-10T23:53:00,2,0
I-0474,N39,1,1,2026-07-10T15:33:00,5,0
I-0475,N45,3,0,2026-07-10T16:38:00,3,0
I-0476,N48,3,3,2026-07-11T07:59:00,4,0
I-0477,N14,1,3,2026-07-10T13:58:00,5,0
I-0478,N49,1,2,2026-07-10T20:49:00,3,0
I-0479,N42,3,2,2026-07-11T00:53:00,3,0
